Feature,Importance
cat__user_cityid_637.0,0.0
cat__user_cityid_640.0,0.0
cat__user_cityid_642.0,0.0
cat__user_cityid_645.0,0.0
cat__user_cityid_646.0,0.0
cat__user_cityid_647.0,0.0
cat__user_cityid_649.0,0.0
cat__user_cityid_650.0,0.0
cat__user_cityid_651.0,0.0
cat__user_cityid_652.0,0.0
cat__user_cityid_654.0,0.0
cat__user_cityid_655.0,0.0
cat__user_cityid_658.0,0.0
cat__user_cityid_662.0,0.0
cat__user_cityid_664.0,0.0
cat__user_cityid_665.0,0.0
cat__user_cityid_666.0,0.0
cat__user_cityid_667.0,0.0
cat__user_cityid_668.0,0.0
cat__user_cityid_669.0,0.0
cat__user_cityid_672.0,0.0
cat__user_cityid_676.0,0.0
cat__user_cityid_677.0,0.0
cat__user_cityid_680.0,0.0
cat__user_cityid_682.0,0.0
cat__user_cityid_684.0,0.0
cat__user_cityid_686.0,0.0
cat__user_cityid_687.0,0.0
cat__user_cityid_689.0,0.0
cat__user_cityid_690.0,0.0
cat__user_cityid_691.0,0.0
cat__user_cityid_692.0,0.0
cat__user_cityid_693.0,0.0
cat__user_cityid_695.0,0.0
cat__user_cityid_696.0,0.0
cat__user_cityid_697.0,0.0
cat__user_cityid_698.0,0.0
cat__user_cityid_703.0,0.0
cat__user_cityid_704.0,0.0
cat__user_cityid_706.0,0.0
cat__user_cityid_707.0,0.0
cat__user_cityid_710.0,0.0
cat__user_cityid_714.0,0.0
cat__user_cityid_715.0,0.0
cat__user_cityid_716.0,0.0
cat__user_cityid_717.0,0.0
cat__user_cityid_721.0,0.0
cat__user_cityid_724.0,0.0
cat__user_cityid_725.0,0.0
cat__user_cityid_726.0,0.0
cat__user_cityid_727.0,0.0
cat__user_cityid_729.0,0.0
cat__user_cityid_733.0,0.0
cat__user_cityid_734.0,0.0
cat__user_cityid_735.0,0.0
cat__user_cityid_736.0,0.0
cat__user_cityid_738.0,0.0
cat__user_cityid_740.0,0.0
cat__user_cityid_741.0,0.0
cat__user_cityid_743.0,0.0
cat__user_cityid_744.0,0.0
cat__user_cityid_745.0,0.0
cat__user_cityid_746.0,0.0
cat__user_cityid_748.0,0.0
cat__user_cityid_749.0,0.0
cat__user_cityid_750.0,0.0
cat__user_cityid_753.0,0.0
cat__user_cityid_754.0,0.0
cat__user_cityid_755.0,0.0
cat__user_cityid_757.0,0.0
cat__user_cityid_758.0,0.0
cat__user_cityid_759.0,0.0
cat__user_cityid_760.0,0.0
cat__user_cityid_763.0,0.0
cat__user_cityid_764.0,0.0
cat__user_cityid_765.0,0.0
cat__user_cityid_766.0,0.0
cat__user_cityid_767.0,0.0
cat__user_cityid_768.0,0.0
cat__user_cityid_769.0,0.0
cat__user_cityid_770.0,0.0
cat__user_cityid_772.0,0.0
cat__user_cityid_774.0,0.0
cat__user_cityid_777.0,0.0
cat__user_cityid_778.0,0.0
cat__user_cityid_780.0,0.0
cat__user_cityid_781.0,0.0
cat__user_cityid_783.0,0.0
cat__user_cityid_784.0,0.0
cat__user_cityid_785.0,0.0
cat__user_cityid_788.0,0.0
cat__user_cityid_789.0,0.0
cat__user_cityid_791.0,0.0
cat__user_cityid_792.0,0.0
cat__user_cityid_794.0,0.0
cat__user_cityid_795.0,0.0
cat__user_cityid_796.0,0.0
cat__user_cityid_798.0,0.0
cat__user_cityid_799.0,0.0
cat__user_cityid_800.0,0.0
cat__user_cityid_803.0,0.0
cat__user_cityid_804.0,0.0
cat__user_cityid_806.0,0.0
cat__user_cityid_807.0,0.0
cat__user_cityid_810.0,0.0
cat__user_cityid_811.0,0.0
cat__user_cityid_812.0,0.0
cat__user_cityid_813.0,0.0
cat__user_cityid_815.0,0.0
cat__user_cityid_818.0,0.0
cat__user_cityid_819.0,0.0
cat__user_cityid_820.0,0.0
cat__user_cityid_821.0,0.0
cat__user_cityid_825.0,0.0
cat__user_cityid_826.0,0.0
cat__user_cityid_828.0,0.0
cat__user_cityid_829.0,0.0
